filename,chunk,inCache
file_294,f6f19f1a9be0693c2b3cd4ac2dc3a11f,0
file_294,f6f19f1a9be0693c2b3cd4ac2dc3a11f,1
file_294,03d7acd6ee4085e1a20641a037876da2,0
file_294,ae171f7b46ba6533e8b8729a0b0c4605,0
file_294,972f581cd906a66f28eb18a70b316241,0
file_294,972f581cd906a66f28eb18a70b316241,1
file_294,d644fad4982995c7d501b2dd81eff7ba,0
file_294,84975045665a4ba03ed6408ce386947e,0
file_294,03d7acd6ee4085e1a20641a037876da2,1
file_294,c970b79b7a0f69e35dd2c92e27502eb4,0
file_362,c970b79b7a0f69e35dd2c92e27502eb4,1
file_362,4c01e073e2b06c4b702b0e4bfaa7e313,0
file_362,ae171f7b46ba6533e8b8729a0b0c4605,1
file_362,4c01e073e2b06c4b702b0e4bfaa7e313,1
file_362,4c01e073e2b06c4b702b0e4bfaa7e313,1
file_362,4c01e073e2b06c4b702b0e4bfaa7e313,1
file_362,972f581cd906a66f28eb18a70b316241,1
file_362,f6f19f1a9be0693c2b3cd4ac2dc3a11f,1
file_362,1e37d3a4ce2bb59f1783620b1f052a04,0
file_362,84975045665a4ba03ed6408ce386947e,1
file_400,972f581cd906a66f28eb18a70b316241,1
file_400,5730ec60b2cbfa3720b40286c1bf47f4,0
file_400,7ef2ffa16de7d7b445dee48bc16fb95c,0
file_400,03d7acd6ee4085e1a20641a037876da2,1
file_400,4c01e073e2b06c4b702b0e4bfaa7e313,1
file_400,239365c168c25843df2aef0b95e45d36,0
file_400,a60b96be63fcd4caaf2aadee1a4744fc,0
file_400,b7ddf79a4cf4018389101babe2804816,0
file_400,7ef2ffa16de7d7b445dee48bc16fb95c,1
file_400,d32ba00f9fdccbd2d67392c4b9ed3cd3,0
file_120,972f581cd906a66f28eb18a70b316241,1
file_120,e17cadb6efe8be193322cfe9639bd1a8,0
file_120,972f581cd906a66f28eb18a70b316241,1
file_120,f6f19f1a9be0693c2b3cd4ac2dc3a11f,1
file_120,ae171f7b46ba6533e8b8729a0b0c4605,1
file_120,d32ba00f9fdccbd2d67392c4b9ed3cd3,1
file_120,caf6b2148810baa45cf150a2daaf1103,0
file_120,972f581cd906a66f28eb18a70b316241,1
file_120,972f581cd906a66f28eb18a70b316241,1
file_120,4c01e073e2b06c4b702b0e4bfaa7e313,1
file_289,caf6b2148810baa45cf150a2daaf1103,1
file_289,4c01e073e2b06c4b702b0e4bfaa7e313,1
file_289,972f581cd906a66f28eb18a70b316241,1
file_289,ae78c66807851c2d5f5e6113b3d65b27,0
file_289,03d7acd6ee4085e1a20641a037876da2,1
file_289,4c01e073e2b06c4b702b0e4bfaa7e313,1
file_289,caf6b2148810baa45cf150a2daaf1103,1
file_289,5730ec60b2cbfa3720b40286c1bf47f4,1
file_289,5730ec60b2cbfa3720b40286c1bf47f4,1
file_289,ae171f7b46ba6533e8b8729a0b0c4605,1
file_244,4c01e073e2b06c4b702b0e4bfaa7e313,1
file_244,76974f492568b328c7b75513f9d7e1fc,0
file_244,a60b96be63fcd4caaf2aadee1a4744fc,1
file_244,a60b96be63fcd4caaf2aadee1a4744fc,1
file_244,972f581cd906a66f28eb18a70b316241,1
file_244,a60b96be63fcd4caaf2aadee1a4744fc,1
file_244,c970b79b7a0f69e35dd2c92e27502eb4,1
file_244,c970b79b7a0f69e35dd2c92e27502eb4,1
file_244,76974f492568b328c7b75513f9d7e1fc,1
file_244,c970b79b7a0f69e35dd2c92e27502eb4,1
file_302,ae78c66807851c2d5f5e6113b3d65b27,1
file_302,ae78c66807851c2d5f5e6113b3d65b27,1
file_302,a60b96be63fcd4caaf2aadee1a4744fc,1
file_302,4c01e073e2b06c4b702b0e4bfaa7e313,1
file_302,d644fad4982995c7d501b2dd81eff7ba,1
file_302,84975045665a4ba03ed6408ce386947e,1
file_302,5730ec60b2cbfa3720b40286c1bf47f4,1
file_302,03d7acd6ee4085e1a20641a037876da2,1
file_302,ae78c66807851c2d5f5e6113b3d65b27,1
file_302,239365c168c25843df2aef0b95e45d36,1
file_139,caf6b2148810baa45cf150a2daaf1103,1
file_139,ae171f7b46ba6533e8b8729a0b0c4605,1
file_139,c970b79b7a0f69e35dd2c92e27502eb4,1
file_139,ae78c66807851c2d5f5e6113b3d65b27,1
file_139,c970b79b7a0f69e35dd2c92e27502eb4,1
file_139,ae78c66807851c2d5f5e6113b3d65b27,1
file_139,4c01e073e2b06c4b702b0e4bfaa7e313,1
file_139,d32ba00f9fdccbd2d67392c4b9ed3cd3,1
file_139,112fab7cd7694d0e06123351f2c241a4,0
file_139,c135838766923745ae09b3adc910eb04,0
file_268,c970b79b7a0f69e35dd2c92e27502eb4,1
file_268,03d7acd6ee4085e1a20641a037876da2,1
file_268,84975045665a4ba03ed6408ce386947e,1
file_268,112fab7cd7694d0e06123351f2c241a4,1
file_268,972f581cd906a66f28eb18a70b316241,1
file_268,84975045665a4ba03ed6408ce386947e,1
file_268,ae171f7b46ba6533e8b8729a0b0c4605,1
file_268,d644fad4982995c7d501b2dd81eff7ba,1
file_268,d644fad4982995c7d501b2dd81eff7ba,1
file_268,972f581cd906a66f28eb18a70b316241,1
file_257,4da0889bc600031f2844ddff31826dca,0
file_257,4da0889bc600031f2844ddff31826dca,1
file_257,ae78c66807851c2d5f5e6113b3d65b27,1
file_257,caf6b2148810baa45cf150a2daaf1103,1
file_257,4c01e073e2b06c4b702b0e4bfaa7e313,1
file_257,1e37d3a4ce2bb59f1783620b1f052a04,1
file_257,972f581cd906a66f28eb18a70b316241,1
file_257,84975045665a4ba03ed6408ce386947e,1
file_257,03d7acd6ee4085e1a20641a037876da2,1
file_257,03d7acd6ee4085e1a20641a037876da2,1
file_145,f379e3675e8db486d061578d729a7967,0
file_145,972f581cd906a66f28eb18a70b316241,1
file_145,239365c168c25843df2aef0b95e45d36,1
file_145,03d7acd6ee4085e1a20641a037876da2,1
file_145,972f581cd906a66f28eb18a70b316241,1
file_145,ae171f7b46ba6533e8b8729a0b0c4605,1
file_145,ae171f7b46ba6533e8b8729a0b0c4605,1
file_145,03d7acd6ee4085e1a20641a037876da2,1
file_145,ae78c66807851c2d5f5e6113b3d65b27,1
file_145,7ef2ffa16de7d7b445dee48bc16fb95c,1
file_259,ae171f7b46ba6533e8b8729a0b0c4605,1
file_259,1e37d3a4ce2bb59f1783620b1f052a04,1
file_259,a60b96be63fcd4caaf2aadee1a4744fc,1
file_259,ae78c66807851c2d5f5e6113b3d65b27,1
file_259,972f581cd906a66f28eb18a70b316241,1
file_259,972f581cd906a66f28eb18a70b316241,1
file_259,7ef2ffa16de7d7b445dee48bc16fb95c,1
file_259,ae171f7b46ba6533e8b8729a0b0c4605,1
file_259,ae78c66807851c2d5f5e6113b3d65b27,1
file_259,1e37d3a4ce2bb59f1783620b1f052a04,1
file_216,a60b96be63fcd4caaf2aadee1a4744fc,1
file_216,c970b79b7a0f69e35dd2c92e27502eb4,1
file_216,03d7acd6ee4085e1a20641a037876da2,1
file_216,1e37d3a4ce2bb59f1783620b1f052a04,1
file_216,caf6b2148810baa45cf150a2daaf1103,1
file_216,ae78c66807851c2d5f5e6113b3d65b27,1
file_216,972f581cd906a66f28eb18a70b316241,1
file_216,c970b79b7a0f69e35dd2c92e27502eb4,1
file_216,1e37d3a4ce2bb59f1783620b1f052a04,1
file_216,d644fad4982995c7d501b2dd81eff7ba,1
file_305,5730ec60b2cbfa3720b40286c1bf47f4,1
file_305,1e37d3a4ce2bb59f1783620b1f052a04,1
file_305,c135838766923745ae09b3adc910eb04,1
